ม|ู|น|ช|า|ว:เ:ว|อ:ร:์|	m|u|n|s:h|o|w:e|r|
ฮ|ิ|ส|เ:ค:ิ|ก|	h|i|s|c:o|c:k|
เ:ล|แ|ม|ส|	l|e|m:a|s:s|
อ:า|ร:์|ท|ิ|ส|ต:์|	a|r|t|i|s|t|
เ:ม|ิ:่|ก|เ:ล:ิ|่:น|ด:์|	m|a|c|l:a|n|d|
ค|า|ร:์|เ:ม:ิ|ก|	c|a|r|m:a|c:k|
ว|ิ|ก|ท|อ|ร|ี|	v|i|c|t|o|r|y|
ด|ั|น|แ:ล:็|ป|	d|u|n|l:a|p|
ฟ|ล|อ|ร|ี:ย:์|	f|l|o|r|e:y|
อ:ิ|น|ช|์|	i|n|c|h|
เ:ค|น|เ:น:อ|ค:็:อ|ต|	k|e:n|n:e|c:o|t:t|
ว:ู|ด|ฟ|ิ|น|	w:o:o|d|f|i|n|
ค|า|ร:์|เ:ด:อ|โ|ม|น|	c|a|r|d|a|m|o:n:e|
แ:ก|ร|ม|บ|ล|ิ:ง|	g|r:a|m|b|l|i:n:g|
ซ|ั|น|ฟ|ิ|ช|	s|u|n|f|i|s:h|
เ:ม:ิ|ก|ค|ิ|น|น:ี:่|ย:์|	m|c|k|i|n|n:e|y|
ไ:พ|ล|ส|โ:ต|ซ:ี|น|	p|l:e:i|s:t|o|c|e:n:e|
เ:ค|ล|ล:์|	k|e:l|l|
ส|ป|ิ|น:ิ:เ|ฟ|ก:ซ:์|	s|p|i|n:i|f:e|x|
เ:ด|ย:์:เ|ต|ิ:้:น|	d|a:y|t|o:n|
ม|า|ร:์|เ:ว:ิ|ล|	m|a|r|v:e|l|
เ|ท|ร|เ:ช|อ:ร:์|	t|h|r:e|s:h:e|r|
ฮ:็:อ|ก|เ:ค|ิ:้:น|	h:o|c:k|e|n|
ฮ|ิ|ม|ม:์|เ:ล:อ|ร:์|	h|i|m|m|l:e|r|
เ:ม|อ|ร|ี:น|	m|a|r|i:n:e|
บ|อ|ร:์:เ|ร|ล|	b|o|r|r:e|l:l|
ค|อ|น|โ:ซ|ล|	c|o|n:s|o|l:e|
ค|ิ|ล|เ:ก|อ:ร:์|	k|i|l|g:o:u|r|
พ|ร|ี|ต|โ:ล:ว|์|	p|r|e|t|l:o|w|
เ:ม|น|	m:a:i|n|
อ:อ|ย:์|เ:อ|อ:ร:์|	o|y|e|r|
แ:อ|ฟ|ฟ|ิ|น|ิ|ท|ี|	a|f|f|i|n|i|t|y|
เ:อ|เ:อ:ส|แ:อ:ล|	a|s|l|
เ:บ|ต|ส:์|	b|a:t:e|s|
เ:บ|ร|ก|เ:ก|อ:ร:์|	b|r:e|a:k|e|r|
โ:ช|น|	c:h:o|w:n|
ล|ิ|น|ค|อ|ล:์|น|	l|i|n|c|o|l|n|
แ:ก|ร|ส:ซ|ี:่|	g|r:a|s:s:i|e|
โ:ท:เ|ม|โ|ต|	t:o|m|a|t:o|
บ|ั:๊:ก|บ|ี|	b|u:g|b|e:e|
เ:ว|ล|ล|ิ:่:ง|ส:์|	w:e:l|l|i|n:g|s|
น:ี|เ:น|ต|	n|i:n:e|t:t:e|
ฮ|อ|ล|ล|ิ|ส|เ:ต:อ|ร:์|	h|o|l|l|i|s|t:e|r|
ก|ร|ิ|ม|ส:์|ล|ี:ย:์|	g|r|i|m|s|l|e:y|
เ:พ|ต|ิ|ส|	p|e:t|i|s|
น|ิ|เ:ค|อ:ร:์|ส|ั|น|	n|i|c:k:e|r|s|o|n|
เ:ล:อ|ก:ง|ต|์|	l:e|c:o:n|t|e|
ต|ิ|ม|ู|ร:์|	t|i|m|u|r|
เ:อ|ซ:ิ|น|	e|s:s:i|e:n|
ค|ร|ิ|ส|ต:ี:้|	c:h|r|i|s|t:y|
น|โ:ป|เ:ล|ี:ย|น|	n|a:p:o|l|e|o:n|
ค|อ|น|เ:ซ|ป|ต:์|	c|o|n|c|e:p|t|
แ:อ:ล|เ:อ:็|น:เ:อ|พ:ี|แ:อ:ล|	l|n|a|p|l|
ฟ|ุ|ล|เ:ล:อ|ร:์|เ:ต|ิ:้:น|	f|u|l|l:e|r|t|o:n|
เ:ก|ล|น|เ:ค|เ:อ|ิ|ร:์|น|	g|l:e|n|c|a|i|r|n|
เ:จ|ท:ี|ย:ู|	j|t|u|
ส|เ:ต:อ|ร:์|ด:ี:่|	s|t:u|r|d:y|
เ|บ|ส|ซ|ี:ย:์|	b|e|s|s|e:y|
ล|า|บ|า|ย|ั|น|	l|a|b|a|y|a|n|
โ:ฮ|ล|เ:ต|ิ:้:น|	h:o:u|l|t|o:n|
โ:ต:เ|บ|โ|ก|	t:o|b|a|g:o|
ว:อ|ค|ล:ู:เ|ซ|ี:ย|น|	v:a:u|c|l:u|s|i|a:n|
น|๊:อ|ต|	k:n|o|t:s|
เ:ฮ|น|ด|ร|ิ:ก|ส|ั|น|	h|e:n|d|r|i:c:k|s|o|n|
ล|ิ|ม|โ:บ|	l|i|m:b:a|u:g:h|
เ:ซ|ด|า|ก|า|,|	s|e:d|a|k|a|,|
พ|อ|ร:์|เ:ต:อ|ร:์|,|	p|o|r|t:e|r|,|
ท:ี|ม|	t:e:a|m|
เ:ก|เ:อ|อ:ร:์|	g:a:y|e|r|
เ:ซ|ล|เ:ซ|อ:ร:์|	s|a:l|z|e:r|
อ:ิ|น|พ|ุ|ต|	i|n|p|u|t|
เ:ซ|า|เ:อ|อ:ร:์|ไ:ว|น:์|	s|a|u|e:r|w:e:i|n|
ล:ู|เ:ม:อ|ร:์|	l:o:o|m:e|r|
แ:ซ:็|ก|ค|า|ร|ิ|น|	s:a|c|c:h|a|r|i|n|
เ:ท|อ:ร:์|ม|อ|ส|แ|ต:ต|	t:h:e|r|m|o|s:t|a|t|
เ:พ|อ:ร:์|เ:ซ|อ:ร:์|	p|u:r|s|e:r|
เ:อ|ล|ิ:ง|	e|l:l|i:n:g|
อ:อ|ด|ร|ี|แ:อ|น|่:า|	a|d|r|i|a|n:n|a|
เ:ม|า|ท|์|	m|o:u|t|h|
แ:อ:็|บ|เ:บ:ิ|ร:์|ต|	a|b|e|r|t|
โ:อ|เ:ป:ิ|น|ช|อ|	o|p:e|n|s:h|a:w|
เ|บ|ล|เ:ท|ร|ิ:่|น|	b|e|l|t|r|a|n|
เ:ม:อ|ร:์|ร|ิ|ต|ต:์|	m:e|r|r|i|t|t|
ท|อ|ร:์|น|เ:ต:ิ|น|	t:h|o|r|n|t|o:n|
เ:ก|ร|ก|า:เ|ล|	g|r:a|g|a|l:e|
ไ|ซ|ด|์|	s|i|d|e|
ซ|ิ|ม|ิ|ล|ี|	s|i|m|i|l|e|
แ:ค:เ|ท|อ:ร|ี:น|	c:a|t:h:e|r|i:n:e|
เ:น:เ|ซ|ี:ย|น|ซ|ั|ส|	n:a|z|i|a:n|z|u|s|
แ:อ|ค|เ:ซ|เ:ล|อ:เ:ร|เ:ต|อ|ร:์|	a|c|c|e:l:e|r:a|t|o|r|
ล|ิ|ม|โ:น|โ:ล|ย|ี|	l|i|m|n:o:l|o|g|y|
ไ:ม|เ|ช|อ|ล|ิ|ส|	m|i|c:h|a|l|i|s|
เ:ฮ|ว:ี|ไ|ซ|ด|์|	h:e:a|v|i|s|i:d|e|
ซ|า|ด|ิ|ซ:ึ:ม|	s|a|d|i|s:m|
โ|ด|บ:ี:้|	d|o|b:y|
เ:อ|น|ส|เ:ว:ิ|ร:์|ท|	a|i:n|s|w:o|r|t:h|
ด|ิ|ล|เ:ก:อ|ร:์|	d|i|l|g:e|r|
เ:ซ|ล|ล|ู|โ|ล|ส|	c|e:l|l|u|l|o|s:e|
เ:ฮ|เ:ม|ิ:่|น|	h:a:y|m|a|n|
เ:ซ:ิ|ร:์|ฟ|บ:อ|ร:์|ด|	s:u|r|f|b:o:a|r|d|
ด|ั|ด|ด|า|ร:ี|โ:อ:้|	d|a|d|d|a:r|i|o|
แ:ฮ|ซ:์|	h:a:z|e|
โ:บ|ร|โ:ม|ฟ|อ:ร:์|ม|	b|r|o:m:o|f|r|o:m|
โ|ซ|ว:์|	s|e|w|
ด:ี|ด|ี:เ:ย|ร:์|	d|i:d|i:e|r|
เ:ม|ร|ิ|จ|	m:a:r|r|i|a:g:e|
อ:า|ร:์|เ:น:อ|ร:์|	a|r|n:e|r|
ค|อ|เ:ม|อ:ร|ี|่|	c|o|m|r|i|e|
เ:ร|า|เ:อ|ิ:่:น|	r|a|u|e:n|
เ:ม|ส:เ:ต|อ:ร:์|	m:a:e|s:t|r:e|
บ|ร|ิ:ง|ส:์|	b|r|i:n:g|s|
เ:ฮ|เ:ซ|ิ:ล|ต|ิ|น|	h|e:s:e|l|t|i|n:e|
บ|ิ|ส|ก:์:ฮ|อ|ฟ|	b|i|s|c:h|o|f:f|
ด|อ|ด:จ:์|ส|ั|น|	d|o|d:g|s|o|n|
ด|อ|น|ิ|เ:ฟ|ิ:น|	d|o|n|i|p:h:a|n|
ไ:ว|น:์|ก|า|ร:์:เ|ต|ิ:้:น|	w:e:i|n|g|a|r|t:e|n|
บ|ร:ู:เ|น|อ:ร:์|	b|r:u|n:e|r|
ว|ิ|ก|ก|ี|	v|i|k|k|i|
ค:ี|เ:น:ิ|น|	k:e:e|n:a|n|
โ:บ|ว|์:แ|ม|น|	b|o|w|m|a:n|
น|ี|ก:า|ร:์|ด|	n|y|g:a:a|r|d|
เ:ค|น|ด|ร|ิ:ก|ส:์|	k|e:n|d|r|i:c:k|s|
เ:ก:อ|ร:์|ช|ว|ิ|น|,|	g:e|r|s:h|w|i|n|,|
เ|ก|ย:์|เ:ด|ิ:้:น|	g|a|y|d|o:n|
ค|อ|ล|ล|ิ|ส|ต|า|	c|a|l|l|i|s|t|a|
ค:็:อ|ก|เ:บ:ิ|ร:์|น|	c:o|c:k|b:u|r|n|
ซ|ั|น:เ|ด|ย:์|	s|u|n|d:a|y|
ฮ|อ|ล|เ:ล:ิ|น|เ:บ:็|ก|	h|o|l|l:e|n|b:e|c:k|
น|อ|ร:์|ท|ว:ู|ด|	n|o|r|t:h|w:o:o|d|
ล|ี|ร|อ|ย|	l|e|r|o|y|
เ:ฮ|โ:บ|ล|ด:์|	h:e:r|b|o:l|d|
ค|ร:ี|ก|	c|r:e:e|k|
เ:น|บ|ิ:ว|ล|า|	n|e:b|u|l|a|
แ:อ|ด|จ|ั|ส|ต:์|	a|d|j|u|s|t|
โ:ฮ|ล|์:เ:ม|ิ:่:น|	h|o:l:e|m:a|n|
แ:ก|ล|ว|ิ|น|	g|l:a|v|i|n|
ไ:อ|ค|อ|น|	i|c|o|n|
เ:ฮ|ย|์|	h|a|y|
เ:ม:ิ|ก|ค|า|ร:์|เ:ต:อ|ร:์|	m|c|c|a|r|t:e|r|
ท|ร|า|น|ส|ว|า|ล|	t|r|a|n|s|v:a|a|l|
แ:ค|ร|์:เ:ม|ิ:ล|	k|r:e|m|l|
ส|เ:ต:เ|บ|อ:เ:ล|อ:ร:์|	s|t:a|b|l:e|r|
เ:พ|ร|ม|ิ|เ:ง|อ:ร:์|	p|r:e|m|i|n:g:e|r|
ม|ิ|ก|เ:ค:ิ|ล|	m|i|c|k:e|l|
แ:บ|ม|ป:์|เ:ต|ิ:้:น|	b|a:m|p|t|o:n|
พ|ิ|น|ว|ิ|ล|	p|i|n|w|i|l:l|
โ:ช|น:่:า|	s:h:o|n:a|
ค|ั|ส|ท|อ|ม:เ:ม|อ:ร:์|	c|u|s|t|o|m:e|r|
ซ|ั|ก|ค|อ|ร|ี|	s|u|c|c|o|r|y|
แ:ซ|ม|ส|แ:ต:็|ก|	s|a:m|s|t:a|g|
ก:ู|๊:ด|ฮ|า|ร:์|ต|	g:o:o|d|h|a|r|t|
บ:ู|ท|	b:o:o|t:h|
เ|ซ|โ:ต:้|	s|e|t:o|
ม|า|เ:ซ:อ|ร:ั|ล|	m|a|c:e|r|r:l|
เ:อ:็|น:เ:อ|ส:เ:อ|	n|s|a|
ว|๊|อ|ก|เ:ด:ิ|้:น|	w|a|l|k|d:e|n|
อ:ั:ล|แ:บ|ร:์:ต|ี|น|ี|,|	a:l|b:e:r|t|i|n|i|,|
เ:ค:อ|ร:์|เ:ต|ิ:้:น|	k:i|r|t|o:n|
บ|อ|ก:ซ:์|อ:อ|ฟ|ฟ|ิ|ศ|	b|o|x:-|o|f|f|i|c:e|
แ:บ|ร:์:ร|ิ|จ|	b:e:r|r|i|d:g:e|
ม|ั|ล|เ:ด:อ|ร:์|	m|u|l|d:e|r|
เ:ก|็|บ|ฮ|า|ร:์|ต|	g|e|b|h|a|r|d:t|
เ:อ|ส|เ:ม:ิ|น|ด:์|	e|s|m:o|n|d|
ด|ิ|โ:บ:เ|อ|อ:ร:์|	d|e|b:o|e|r|
ท:ี|อ:อ|ส|	t:h:e|o|s|
แ:จ|ฟ|เ:ฟ|ร|ย:์|	j|a:f|f|r:a|y|
ค|ล|อ:ไ:ร|ด|์|	c:h|l:o|r:i|d|e|
ว:ู|ด|ส|ต|อ|ก|	w:o:o|d|s|t|o|c:k|
ร|า|ด|ิ|ช|	r|a|d|i|c:h|
ไ:ช|น|า|	c:h:i|n|a|
ค|ร|อ|ป:ป:์|	k|r|o|p:p|
ร|ิ:ง|โ:ก|	r|i:n:g|o|
ไ:อ|โ:ซ:เ|น|ฟ|	i|s:o|n:e|p:h|
เ:ม|ิ:่|ก|แ:ค|ล:เ:ล|ิ:่:ม|	m|a|c|c:a:l|l|u:m|
อ:อ|ว|ุ:ล|	o|v|u:l:e|
เ|บ|ท|ก|์|	b|e|t:h|k|e|
ก|ล|ู|	g|l|u:e|
ซ|ั|ล|ล|ิ|แ:ว|น|,|	s|u|l|l|i|v|a:n|,|
ท|ร|า|น|ส|เ:ล|ต|	t|r|a|n|s|l|a:t:e|
พ|ล|า|ส|ต|ิ|ก|	p|l|a|s|t|i|c|
อ:ิ|น|ฟ|ิ|ม|ั|ม|	i|n|f|i|m|u|m|
บ|ิ:ก|เ:ฟ:ิ|ร:์|ด|	b|i:c:k|f:o|r|d|
ก|ั|ล|ล|ิ|ก|เ:ซ:ิ|่:น|	g|u|l|l|i|k|s:e|n|
เ:อ|ง|ก:ี:ไ|ว|น|์|	a|n:g|e:v|i|n|e|
ต|ิ|ล|อ|ส|	t|i|l|o|s|
ว|อ|ต|ค|ิ|น|ส|ั|น|	w|a|t|k|i|n|s|o|n|
แ:ค|ม|โ:ร|ส|	c|a:m|r:o:s|e|
เ:ด|ด|ไ:ล|น|์|	d:e:a|d|l|i:n|e|
โ:บ|ร|เ:ว:ิ|ร:์|ด|	b:r:o|w|a|r|d|
ส|ก|า|ล:่:า|	s|c|a|l:a|
ท|ิ|เ:ค|อ:เ:น|อ:ร:์|	t|i|c:h:e|n:o|r|
เ|บ|ต|ต:์|	b|e|t|t|
แ:ซ|ง:เ:ค|อ:ร:์|	z:a:n|k:e|r|
ส|ต|ี:เ:ว|อ:ร:์|	s|t|e:v|e:r|
ฮ:็:อ|บ|ส|ั|น|	h:o|b|s|o|n|
ส|ต:็:อ|ก|ว|ิ|น|	s|t:o|c:k|w|i|n|
ซ:ี|เ:ม|น|ส:์|,|	s:i:e|m|e:n|s|,|
อ:ี|เ:ด|ิ|ล|	e|d|i|l|
เ:ฟ|ร|ม|	f|r:a|m:e|
โ:อ|ไ:บ|เ:ร|ิ|น|	o|b|e|i|r:n:e|
ส|แ:ค:น|เ:น|ิ|ล|	s|c:a|n:n:e|l|l|
ไ:ช|เ:ว:ิ|ร:์|ส|	c:h:i|v:e|r|s|
เ:พ|อ:ร:์|เ:ซ|ล|ล:์|	p|u:r|c|e:l|l|
แ:ฮ|น|ด:์|เ:ฟ:ิ|ร:์|ด|	h|a:n|d|f:o|r|d|
อ:ิ|น|เ:ว:อ|ร:์|ช:ั|น|	i|n|v:e|r|s:i:o|n|
เ:ก|ล|เ:ด:อ|ร:์|	g|e:l|d:e|r|
เ:ซ|เ|ฟ|ิ|ส|	c|e|p:h|a|s|
เ:ฮ|เ:อ|ส|	h:e:r|r|e:s|
แ:ช|ด|	s:c:h|a:d|
โ:อ|ค|็:อ:ต|ส:ก:์|	o|k:h|o:t|s:k|
โ:อ|เ:ด:ิ|ล|	o|d|l:e|
เ:ม:ิ|ก|ค|ิ|ท|	m|c|k:e|i|t:h|
ด|อ|โ:บ|ร|	d|u|b:r:o|w|
เ:ก|ส|ต:า|โ:ป|	g|e:s|t|a:p:o|
ค|ล|ี|ฟ|แ|ล|น|ด:์|	c|l|e|v|e|l|a:n|d|
แ:ม|ง|ก:า|ไ:น|ต|์|	m:a:n|g|a|n|i:t|e|
เ:ด:อ|	d:e|
อ:ะ|ด|า|เ:ม|ล|ไ:ล|ต|์|	a|d|a|m|e:l|l|i:t|e|
บ:า|ร|อ|ก|ร|า|ฟ|	a:n:e|r:o|i:d:o|g|r|a|p:h|
ม|ั|น|เ:ด|ล|	m|o|n|d|a:l:e|
ช:ั|ล|	s:h:u|l:l|
เ:ฟ|น|ส|เ:ต:อ|ร:์|	f|e:n|s|t:e|r|
อ:ิ|น|เ:ว:ิ|ร:์|ด|	i|n|w:a|r|d|
เ|อ:แ:ร|ม|	a|r:a|m|
โ|ฮ|ว|ิ:่:ง|	h|o|v:i|n:g|
โ|ล|น|ล|ี|	l|o|n:e|l|y|
ฮ|ี|ส|เ:ต:ิ|น|ด:์|	h|i:e|s|t|a:n|d|
ว:ิ|ต|เ:ค|ิ:่|ม|	w:h:i|t|c|o|m:b|
ท|อ|ก:ซ:า|ฟ:ี|น|	t|o|x:a|p:h:e|n:e|
เ:ค|ด|ส:์|	k|a:d:e|s|
เ|บ|น|น|ี|่|	b|e|n|n|i|e|
ไ:บ|ร|์:ต|ั|้:น|ส|ไ:ต|น:์|	b|r:e:i|t|e|n|s|t:e:i|n|
เ:ม|ด|ิ|น:่:า|	m|e:d|i|n:a|
ด|า|ร:์|ก|	d|a|r|k|
แ:ว|ร|์|	w:e:a|r|e|
ร|ิ|ด|ด|ิ:ก|	r|i|d|d|i:c:k|
แ:ช|ป|ล|ิ|น|	c:h:a|p|l|i|n|
แ:ร:น|เ|ด|ล:ล:์|	r:a|n|d:e|l:l|
โ:ฟ|ร|ล|ิ|ก|	f|r:o|h:l|i|c:h|
โ:อ|ด|อ|น|เ:น:ิ|ล|	o|d|o|n|n:e|l:l|
แ:ก|ล|	g|a:l|
น:ิ:ว|ไ|ค|ล|ด|์|	n:u|c|l|i|d|e|
แ:พ|ล|ฟ|ร:ี|	p|a:l|f|r:e:y|
ไ|ค:ล|โ|น|ซ|อ|ย|ไ|ซ|ต|์|	c|l|i|n:o|z|o|i|s|i|t|e|
พ|า|ร:า|โ|บ|ล|า|	p|a|r|a|b|o:l|a|
ว|ิ|ง:เ:ง|อ:ร:์|	w|i|n:g|e:r|
ร|อ|ย|ส|์|	r|o|y|s|e|
แ:ค|ม|ป:์|	k|a:m|p|
ก|ร|ิ|ม|ม|ิ:ต|	g|r|i|m|m|e:t:t|
ล|ิ|น|ด:์|เ:น:อ|ร:์|	l|i|n|d|n:e|r|
โ:อ|เ|บ|อ:ร:์|	o|b|e|r|
เ:อ|อ:ี|	a|.:e:.|
ช:อ|ง|-|ป|อ:ล|	j:e:a|n|-|p|a:u:l|
น:ู|ก:า|	n:o:u|g:a:t|
เ:ฮ|ล|ึ|ส|	h:a:i|l|e|s|
แ:อ|ม|โ:ม|ไ:น|ต|์|	a|m:m|o|n|i:t|e|
อ:อ|ส|ต|ิ|น|	a|u:s|t|y|n|
เ:ก|ร|ฟ|ส:์|	g|r:a|v:e|s|
ว|ิ:ล|ล:ี|ส|ั|น|	w|i|l:l:i|s|o|n|
แ:ฮ|ล|พ|ร|ิ|น|	h|a:l|p|r|i|n|
ค:า:เ|ด|ต|	c:a|d:e|t|
ฮ|อ|ฟ:ฟ:์|เ:ม|ิ:น|	h|o|f:f|m:a:n|n|
เ:ม|ล|เ:ล:ิ|น|	m|e:l|l:e|n|
แ:ฮ|ต:เ:ท|ิ:่:ล|	h:a:t|t:e|n|
เ:ก|ย:์|	g:u:a|y|
ซ|ิ|ว|ิ|ไ|ล|ซ|์|	c|i|v|i|l|i|z|e|
ช|ี|ก|	s:h|i:e|k|
โ|ว|ล:์|ก|	v|o|l|k|
แ:ค:็|ก|	k:a|c|
ค|า|ร:์:เ|น|ช:ั|น|	c|a|r|n:a|t:i:o|n|
เ:ค|ล|ว|ิ|น|-|เ:ฮ|ล|์:ม|โ|ฮ|ล|ซ:์|	k|e:l|v|i|n|-|h|e:l|m|h|o|l:t|z|
แ:ฮ|ป|เ:ป:ิ|้|ล|	h|a:p|p|e|l|
อ:ะ|โ|ก|น|ิ|ก|	a|g|o|n|i|c|
ส|ป|ร|ิ|น|เ:ต:อ|ร:์|	s|p|r|i|n|t:e|r|
แ:ม|ก|เ:ล|น|,|	m|a:c|l:a:i|n:e|,|
ไ|ล|ฟ|์:ล:ี|่:ย:์|	l|i|v:e|l|y|
ร:ู|ส|ส:์|	r:e:u|s|s|
เ:ค|อ:ร:์|ซ|อ|น|	c|u:r|z|o|n|
แ:ล:็|ป|ส|ล|ี:ย:์|	l:a|p|s|l|e:y|
อ|อ|ท|ไ:ฮ|เ:ม:อ|ร:์|	o|s|t|h:e:i|m:e|r|
แ:ค:็|ก|น|ี:ย:์|	c:a|g|n|e:y|
อ:ี|ล|อ:ร:์|	e|-:l|a:w|
อ:า|โ|ร|น|ส:์|	a|r|o|n|s|
โ:ฟ:เ|น|อ:ร:์|	f:o|n:e|r|
ม|ั|น|ช|่:า|	m|a|n|c:h|a|
แ:ค:็|ต|ว|อ|ล:์|ก|	c:a|t|w|a|l|k|
เ:อ:็|ม|พ|ล|อ|ย|เ:ม|น|ต:์|	e|m|p|l|o|y|m|e:n|t|
ม|อ:ร:์|โ|ค|ส|	m|o|r|c:o|s|
โ:ว|ล:ล:า|ส|โ:ท|ไ:น|ต|์|	w:o:l|l:a|s:t|o|n|i:t|e|
ด|า|ว|น|ี|่|	d|o|w|n|i|e|
อ:อ|ร:์:เ|ว|ล:ล:์|,|	o|r|w:e|l:l|,|
บ|า|ร:์|เ:ร|ล:่:า|	b|a|r|e|l:a|
ส|ค|ร|ี|ม:ก|อ|ร:์|	s|c|r|i|m:g:e|o:u|r|
แ:ล|ร:ี|เ:ม:อ|ร:์|	l:a:r|i|m:e|r|
ไ:ฮ|โ|ล|	h:i:-|l|o|
ด|า|เ:ร|ล|	d|a:r|e|l:l|
เ:ซ|็:น|ต:์:เ|ฮ|เ:ล|น:่:า|	s:a:i|n|t|h|e:l:e|n:a|
เ:ท|ร|โ:ม|ไ:ล|ต|์|	t|r|e:m:o|l|i:t|e|
พ|ร|อ|ด|ั|ก|ต:์|	p|r|o|d|u|c|t|
แ:ฟ|ล|ร|์|	f|l|a:r|e|
ส:เ|ล|ว|ิ:้:น|	s|l:e|v|i:n|
เ:บ|ล|น|	b|l|a:i:n|
เ:ล|ป|ส:์|	l|e:p|s|
ค|อ|ง|ค|อ|ร:์|ด|	c|o|n|c|o|r|d|
แ:ม|ด|ส|ั|น|	m|a:d|s|o|n|
อ:อ|ส|ว|ิ|น|	o|s|w|i|n|
แ:ซ|ม|เ|บ|อ:ร:์|เ:ล:ิ|น|	z|a:m|b|e|r|l:a|n|
เ:อ:ส|อ:า:ร|์:ท:ี|	s|r|t|
ฮ|า|ร:์|ต|ค:ี:้|	h|a|r|t|k:e|
โ:ช|เ:บ|อ:ร:์|	s:c:h|o:b:e|r|
ส|เ:ต:ิ|ร:์:น|,|	s|t:e|m|,|
เ:บ|ร:า|น:์|ฟ|ิ|ล|ด:์|	b|r:o:w|n|f|i:e|l|d|
ก|า|ร:์|ค|ิ|ก|	g|a|r|c:h|i|k|
ส:แ:ต|ร|น|ด:์|	s:t|r:a|n|d|
ก|อ|ย|เ:ท|อ:ี|น|	g|o|i|t|e|i:n|
เ:ค|ี|ย:ร:์|เ:น:ิ|น|	k|i:e|r|n:a|n|
แ:บ|ต|ล:ี:่|ย:์|	b|a:t|l:e|y|
แ:ต:ล|ล|ิ|น|	t:a|l:l|i|n|
ช:ิ|เ|ค|อ|ร:ิ:่|ง|	c:h:i|c|k|e|r:i|n:g|
ย|ู|ส|ต|ั:้:น|	e|u|s|t|o:n|
โ:ค|ส|ซ:่:า|	k|o:s|s:a|
เ:ม|ิ|น|เ:น:อ|ว:่:า|	m|i|n|e:r|v:a|
เ|บ|ี:ย|ร:์|ส|	b|e|e|r|s|
ไ:ฮ|เ|ท|อ:ร:์|ก|ร|า|ฟ|	h|y|t:h|e:r|g|r|a|p:h|
ก|อ|ม|เ:พ:ิ|ร:์|ส|	g|o|m|p:e|r|s|
แ:ฟ|ร|ง|ค|ล|ิ|น|	f|r:a|n|k|l|y|n|
เ:ร|ด|ิ|โ:อ|	r|a:d|i|o|
อ:ุ|ร|ุ|ก|ว|ั|ย|	u|r|u|g|u|a|y|
ไ:ม|เ:ค|ิ:ล|,|	m:i:c|h:a:e|l|,|
ล|า|ฟ|ต|า|	l|a|f|t|a|
โ:ม:เ|ม|น|ต:์|	m:o|m:e|n|t|
น|อ|ร:์|เ:ว:ิ|ล|	n|o|r|v:a|l|
ส:แ:ก|น|ด|ิ|เ:น:เ|ว|ี:ย|	s:c|a:n|d|i|n:a|v:i|a|
อ:อ|ส|	o|s|
ไ:ม:เ|อ:อ:ร|ส:์|,|	m:y|e:r|s|,|
เ:น|ค|ร|ี|ส|	n|a:c|r|e|o:u:s|
ส:แ:ต|ร|็|ส|เ:บ:อ|ร:์|เ:ก:อ|ร:์|	s:t|r|a|s:s|b:u|r|g:e|r|
เ|ค|ซ:ี:่|	k|a|z:y|
โ:ซ:เ|ล|ิ:่:ม|	s:o|l|u:m|
ค|ิ|ม|เ|บ|อ:ร:์|ล|ี:ย:์|	k|i|m|b|e|r|l|y|
ก|ิ|ล|เ:ล:ิ|ต|	g|i|l|l:o|t|
เ:ก|ส|ต|ั|ล|ต:์|	g|e:s|t|a|l|t|
ว:ิ:ก|เ|ค|ิ:่|ม|	w:i|c|k:h|a|m|
ไ:ก|ร|์|	g:u:i|r|e|
เ:ด:อ|ร:์:เ|ว|น|ต:์|	d:e|r|w|e:n|t|
อ:อ|ส|เ:ซ|อ|ร:ี:่|	o|s|s|o|r:y|
เ:จ|ฟ|เ:ฟ:ิ|ร:์|ด|	j|e:f|f:o|r|d|
เ:อ|ป|ิ|เ:ซ|น|เ:ต:อ|ร:์|	e|p|i|c|e:n|t:e|r|
แ|อ:ร:์|ไ:ล|น|์|	a:i|r|l|i:n|e|
โ|ก|ล|เ:ด:อ|ร:์|	g|o|l|d:e|r|
ร|อ|ส:เ|ว|ล:ล:์|	r|o|s|w:e|l:l|
เ:อ|ส|เ:ค:อ|น|า|ซ:ี:่|	e|s|k:e|n|a|z:i|
อ:ิ|น|เ:ว|ส|ต:์|เ:ม|น|ต:์|	i|n|v|e:s|t|m|e:n|t|
ส|ต|า|ร:์|บ|ั:ก|	s|t|a|r|b|u:c:k|
ค|ล:ู|ฟ|	c|l:o:u|g:h|
ค|า|ร:์|เ:พ:อ|ร:์|	c|a|r|p:e|r|
โ:ร|ส|,|	r:o:s|e|,|
ม:ี:เ|น|ี:ย|ร:์|	m:e|n:e|a|r|
เ:ล:อ|ม|อ|น|ด:์|	l:a|m|o|n|d|
ไ|ท|น|ั|น|	t|y|n|a|n|
ค|ร|ิ|ส|ต|ิ|แ:อ|น:่:า|	c:h|r|i|s|t|i|a|n:a|
เ:บ|ร|ก|ส:์|	b|r:e|a:k|s|
โ|ร|ล:์|ฟ|	r|o|l|f|
ก|า|ล:ิ:เ|ล|อ:ี|	g|a|l:i|l:e|i|
ไ:ค|เ:น|เ:ม|ต|ิ|ก|ส:์|	k|i:n:e|m|a:t|i|c|s|
