ה|ו|ל|מ|ז|	h|o|l|m:e|s|
ו:י|צ:מ|ן|	w:e:i|z:m:a|n|
פ|ר|י|מ|ו|ר|ס|ק|ו|	p|r|i|m|o|r|s|k|o|
ט|ו|ק|י|ו|	t|o|k|y|o|
ס|ב|י|ט|ו|ס|ל|א|ב|	s|v|e|t|o|s|l|a|v|
ס|ו|ב|א|ר|י|	s|u|v|a|r|i|
מ|ן|	m:e|n|
א|ל|ק:י:י|ן|	a|l|k:a|n:e|
א|ל|א|נ|ו|א|ר|	a|l|a|n|w|a|r|
ק|א|ר|ט|מ|א|ן|	c|a|r|t|m|a|n|
ה|ר|צ|ל|	h:e|r|z|l|
ב:ו|י|	b:o:o|y|
מ|ו|ז|פ|ר|	m|u|d:h:a|f:a|r|
ב|ל|ג|ר|א|ד|	b:e|l|g|r|a|d:e|
ל:י|מ:ו|ט:ש|י|א|	l:e:m|m:o:u|c|h:i|a|
נ:י:י|ד|ר|	n:a|d|e:r|
מ|י|ל|ק|א|	m|i|l|k|a|
ט|א|י|	t|a|y:e|
ר|י|נ|א|	r|i|n|a|
י|ו|ל|י|ו|	j|u|l|i|o|
ב|א|ר|ב|ר|א|	b|a|r|b:a|r|a|
ב|א|י|ק|א|ל|	b|a|i|k|a|l|
צ:'|י:י:מ|ב|ר|ל:י|ן|	c:h:a|m|b|e:r|l:a:i|n|
ב|א|ר|ת|ו|ל|ו|מ|י|ו|	b|a|r|t|o|l|o|m|e|u|
ק|ו|נ|י|ה|י|ק|ו|	k|u|n|i|h|i|k|o|
ח:ו|ר|ט|ס|י|ל|א|ב|א|	k:h:u|r|t|s|i|l|a|v|a|
ש|ל|מ|נ|ס|ר|	s:h:a|l|m:a|n:e|s|e:r|
נ|א|י|ן|	n|e|i|n|
ל|א|ס|א|ל|	l|a|s:s|a|l:l:e|
פ|ו|ל|י|י|ן|	p|o|l|y|e|n:e|
ה|י|ד:י|ק|ו|ט|י|	h|i|d:e:g|k|u|t|i|
ט|א|ב|ו|ק|י|	t|a|b|u|c:c:h|i|
י|ו|ס|ו|פ|י|	j|u|s|u|f|i|
ס|ו|ד|א|ר|ס|ו|נ|ו|	s|u|d|a|r|s|o|n|o|
ב|ו|ר|א|נ|א|	b|o|r|a|n|a|
ס|מ|י|ח|	s:a|m|i|h|
ג:':י|ן|	j:e|a:n|
ב|ר|ו|נ|ר|	b|r|u|n|e:r|
ט|א|מ|ו|ק:ס|י|פ|י|ן|	t|a|m|o|x|i|f|e|n|
מ|א|ל|ו|ד|א|	m|a|l|o:u|d|a|
ד|י|א|נ|א|	d|h|y|n|a|
י|א|ג|י|	y|a|g:h|i|
צ:':א|ב|י|ז|	c:h|a:v|e|z|
ע:ו|ט|י|י|ף|	o|t|a|i|f|
ג:':ו|נ|י|	j:o|n:n|y|
ג:':ו|נ|י|צ:'|י|	j:u|n|i|c|h:i|
ט|ס|י|ר|ק|ב|א|	t|s|e|r|k|v|a|
א|ד|ו|א|ר|ד|	e|d|u|a|r|d|
ג:'|א|נ|י|נ|י|	g|i|a:n:n|i|n|i|
א|נ:י|ו|	e|n:n:i|o|
ט|ו|מ|ו|ק|א|ז|ו|	t|o|m|o|k|a|z|u|
ב|ו|י|ט|א|	v|o|j|t|a|
ס|פ|י|ר|ו|	s|p|i|r|o|
ו|א|ס|י|ל|י|	w|a|s:s|i|l|y|
ק|ו|ס|מ|ו|	c|o|s|m|o|
ו|א|ק|א|מ|ו|ט|ו|	w|a|k|a|m|o|t|o|
ק|א|ר|ל|א|	c|a|r|l|a|
ב|ל|ח|א:ג:'|	b:e|l|h:a|d:j|
ר|ו|נ|י|ת|	r|o|n|i|t|
ס|ע|ד|א|ן|	s:a|a|d|a|n:e|
ק|א|ר|י|ל|	k|a|r|e|l|
ג|א|ב|ר|י|א|ל|	g|a|b|r|i|e|l:e|
א|נ|ג|י|ל|א|	a|n|g|e|l|a|
ב|ו|ק|א|	b|o|c|a|
נ|ו|י|	n|o|e|
ש:י|ט|ו|	s:h:i|t:t|u|
ו|י|ט|ו|ל|ד|	w|i|t|o|l|d|
מ|ו|ר|ט|י|נ|ס|י|ן|	m|o|r|t|e|n|s|e|n|
א|נ|ג|ל|י|א|	a|n|g|l|i|a|
מ|ו|נ|ו|ז|	m|u|n|o|z|
ס|א|ט|ר|א|פ|י|	s|a|t|r|a|p|i|
ו|א|ט|	w|a|t:t|
ד:א|ו|ד|	d:a:w|o:u|d|
א:ו|ס|ב|א|ל|ד|ו|	o|s|v|a|l|d|o|
א:ו|ל|י|מ|פ|י|ק|	o|l|y|m|p|i|c|
ד|ב:ו|ז|	d:e:b|b:o:u|z:e|
ק|ל|י|נ|ג|	k|l|i|n|g|
פ|י|ר|ל|מ|ו|ט|ר|	p|e|r|l|m|u|t:t|e:r|
ר|י|ק:א|ר|ד|ו|	r|i|c:c:a|r|d|o|
ל|י|ל|י|נ|ט|א:ל|	l|i|l|i:e|n|t|h:a:l|
ש|א|ד|ל:י|	c:h|a|d|i:l:i|
מ|ו|ח|ט|א|ר|	m|o|k:h|t|a|r|
ג|א|ל|ז|ו|ו|ר|ת|י|	g|a|l|s|w|o|r|t:h|y|
מ:א:ק|ל|א|ר|י|ן|	m:c|l|a|r|e|n|
ג:':ו|נ|א|ס|	j:o|n|a|s|
ה|א|ס|ל|ר|	h|a|s|l|e:r|
ס|י|ז:י|ר|	c|e|s:a:i|r:e|
ב|י|נ|ג|	b|i|n|g|
מ|א|ה|ל|ר|	m|a|h|l|e:r|
ו|ו|ל|ב|ו|	v|o|l|v|o|
ט|י|נ|ט|ו|ר|י|ט|ו|	t|i|n|t|o|r|e|t:t|o|
פ|י|ו|נ|א|	f|i|o|n|a|
ק|ו|ר|א|ס|	c|o|r|a|s|
ו|י|ר|כ|ו|י|א|נ|ס|ק|	v|e|r|k:h|o|y|a|n|s|k|
ב|י|ר|ט|ל|ז|	b|i|r|t|l|e:s|
פ|י|ש|ר|	f|i|s:c:h|e:r|
ל:י:י|ד|י|	l:a|d|y|
ס|א:מ|ר|ז|	s|u:m:m|e:r|s|
ל|י|ד|ה|ו|ל|ם|	l|i|e:d|h|o|l|m|
פ|י|א|נ|י:ט:ש|	p|j|a|n|i:c|
ג|א|ר|י|ק|ס|	g|a|r|i|c|s|
ס|י|י|נ|ט|	s|a|i|n|t|
ו|א|ו|ר|י|נ|ק|א|	w|a|w|r|i|n|k|a|
ז|ו|ר|ר|	z|u|r|e:r|
ל|ג|'|נ|ד|	l:e|g|e|n|d|
צ:'|פ|י|ט|ה|	c:h:e|p|i|t|a|
מ|י|ה|א|ל|י|	m|i|h|a|l|y|
ב|ס|א|ם|	b:a|s:s|a|m|
מ:ו|ר|א|ד|	m:o:u|r|a|d|
ת|ו|ר|מ|א|ן|	t:h|u|r|m|a|n|
ק|א|ה|נ|מ|א|ן|	k|a|h|n:e|m|a|n|
ק|י|ז|י|ל|	k|y|z|y|l|
ק|ר|ו|ז|	c|r|u|z|
ג:'|ר|א|ר|ד|	g|e:r|a|r|d|
ש|ל|א|ל|א|	s:h:a|l|a|l|a|
ב|ו|ס|י|נ|י:ט:ש|	v|u|c|i|n|i:c|
ג:':ו|א|ק|י|ם|	j:o|a|c:h|i|m|
ס|ר|פ|נ|ט|י|נ|א:י|ט|	s|e:r|p:e|n|t|i|n|i|t:e|
ד|י|א|ן|	d|i|a|n:e|
ל|ר|ב|י|	l|e:r|b|y|
ה|א|ק|י|ק|א|ר|	h|a|k|i|k|a|r|
ב|י|ר|ל|י|ו|ז|	b|e|r|l|i|o|z|
א:י|ש:י|ה|א|ר|א|	i|s:h:i|h|a|r|a|
א|י|ס|	a|e|s|
מ|י|נ|י|ג|א|ז|ו|	m|e|n|e|g|a|z:z|o|
ו|ר|	w:e:h|r|
ל|י|ו|נ|ו|ב|	l|e|o|n|o|v|
פ|ו|ל|ש|י|	p|u|l|c|i|
פ:ו|י|ן|	f:o:u|i|n:e|
א|ד|י|ב|	a|d|i|b|
י|ו|ש:י|ט|ו|	y|o|s:h:i|t|o|
ט|א|י|מ|א|נ|ו|ב|	t|a|i|m|a|n|o|v|
י|ו|ש|צ:'|נ|ק|ו|	y|u|s:h|c:h:e|n|k|o|
ל|ו|ר|י|	l|o|r|i|
א|ל|ד|ו|	a|l|d|o|
ה|י|ל|ד|י|	h|i|l|d|e|
ת|ג:'|ו:ו:י|ד|	t:a|j|w:i|d|
ל|א|ב|י|ל|	l|a|v|i|l:l:e|
מ:י|א|נ|ו|	m:i:y|a|n|o|
ב|נ|י|	b|n:e|i|
ח|מ|א|ד|י|	h:a:m|m|a|d|i|
ה|א|נ:י|ג|א|ן|	h|a|n:n:i|g|a|n|
י|א|נ|א|	j|a|n|a|
ט|ו|ר|ט|ו|ל|א|	t|o|r|t|o|l|a|
ו|י|ט|ו|ר|	v|i|t|o|r|
ק|א|ר:א|ס|ו|	c|a|r:r:a|s:s|o|
ש|א|נ:ו|ן|	s:h|a|n:n:o|n|
ג|ו|ת|א|ל|ס|	g|o|e:t:h|a|l|s|
ד|י|ט|ר|י|ך|	d|i:e|t|r|i|c:h|
מ|ו|ח|מ|ד|	m|u|h:a:m|m:e|d|
ט|י|ט|א|	t|i|t:t|a|
א|ל|פ|ו|נ|ס|ו|	a|l|f|o|n|s|o|
פ|ו|ר|מ|א|ן|	f|o|r|m|a|n|
א:י|נ|ד|י|ק|	i|n|d|y|k|
ס|ט|ר:ו|ס|נ|ר|	s|t|r:o:e|s:s|n|e:r|
ז|י|ז|י|	z:e|e|z:e|e|
מ|י|ד|ו|ר|י|	m|i|d|o|r|i|
נ|א|ק|א|ז|א|ו|א|	n|a|k|a|z|a|w|a|
ס|י|ק|ו|	s|e|k|o|
מ|י|ל|י|ט|ו|	m|i|l|i|t|o|
ב|ו|ה|י|ן|	b:a|u|h|i|n|
מ|א|ר|י:א|	m|a|r|i:a:h|
ו|ר|נ|ר|	w|e:r|n|e:r|
ד|א|ר:י|ל|	d|a|r:r:e|l:l|
ל|ו|ר|נ|ס|	l|a:u|r:e|n|c:e|
ס|ר|ו:ו:י|ט|	s|e:r|v:e|t|
ס|ק|א|ל|י|א|	s|c|a|l|i|a|
ק|ר|א|י|ו|ב|א|	c|r|a|i|o|v|a|
ל|י|ט|ב|י|נ|י|נ|ק|ו|	l|i|t|v|i|n|e|n|k|o|
א|ל|י|ו|ט|	e|l|i|o|t|
ר|י|ט|ר|	r|i|t:t|e:r|
ש|א|ו|ק|א|ט|	s:h|a|u|k|a|t|
ק|ו|ל|ט|ר|	c|o|l:l:e|t|e:r|
ד|י|מ|י|צ:'|ל|א|ס|	d|e|m|i|c:h:e|l|i|s|
פ|ו|ט|א|ן|	p|u|t:t|a|n|
מ|א|ל|ד|א:י|ב|ז|	m|a|l|d|i|v:e|s|
ה|י|ו|ר|י|	h|y|o|r|i|
ה:א|י|ד|	h|y|d:e|
מ|א|ר|ק:ס|	m|a|r|x|
מ|ו|ר:ו|	m|o|r:r:o|
ש:י|ל|פ|א|	s:h:i|l|p|a|
ג|י|ו|נ|י|א|	g:h|i|o|n|e|a|
ד|י|י|מ|ו|ס|	d|e|i|m|o|s|
ס|מ|י|ת|י|ז|	s|m|i|t:h|i|e:s|
א:י|נ|ד|ו|ר:י:י|ן|	i|n|d|u|r:a|i:n|
ט|י|ס|ד:י:י|ל|	t|i|s|d:a|l:e|
ב|ו|נ:י|ס|ל|	b|o|n:n:i|s:s|e:l|
י:ו|ל|ד|ו|ש|	y:o:‘|l|d|o|s:h|
י|ו|ל|	y|u|l|
ל|י|ד|ל|י|	l|e|d|l:e|y|
נ|ו|ט|י|נ|ג|ה|א|ם|	n|o|t:t|i|n|g|h|a|m|
ד|ע|י|ב|ס|	d|a|i|b:e|s|
ב|ר|ו|ק|י|	b|r|o|c:c:h|i|
ד:ח|ל|א|ן|	d:a:h|l|a|n|
ט|ו|ט|י|	t|o|t:t|i|
א|ת|ר|ו|ג|	e|t|r|o|g|
ס|ט|א|נ|פ|ו|ר|ד|	s|t|a|n|f|o|r|d|
ג|ר|י|ג|ו|ר|י|ו|	g|r|e|g|o|r|i|o|
ק|ו|ט|א|ר|ב|א|	k|o|t|a|r|b|a|
ב|ק|י|	b:a:e|c:k|e|
ט|י|ב|ו|ל|י|	t|i|v|o|l|i|
ט|צ:':א|נ|ג|א|י|	t|c:h|a:n|g|a|i|
ר|א|מ|ס|פ|י|ל|ד|	r|u|m|s|f|e|l|d|
ס|י|מ|י|ו|נ|ו|ב|	s|e|m|y|o|n|o|v|
ק|י|ר|א|ס|ט|א|ס|	k|y|r|a|s|t|a|s|
ג|ר|א|נ|ד|	g|r|a|n|d|
ס|ו|נ|ק|ו|	s|o|n|k|o|
מ|א|ר|ק|י|ט|א|	m|a|r|k|e|t|a|
ל|י|נ|ד|ל|	l|e|n|d|l|
ז|':ו|	z|h:o:u|
ב|ו|ט:י|נ|ג|	b|o|a:t:e|n|g|
ש|מ|א|י|ק|ל|	s:c:h|m|e|i|c:h|e:l|
ל|א|ב:י|	l|a|v:i:e|
ג|ב|ר|י|א|ל|	g:a|b|r|i|e|l|
ר|ו|ז|א|	r|o|s|a|
ר|ו|י|ט|מ|א|ן|	r|o|i|t|m|a|n|
ב|ט|א|ט|ו|	b:a|t|a|t|u|
ג|ו|ר|ב|א|ן|	g:h|o|r|b|a|n|
ג|ו|ל|ן|	g|o|l|a:n|
ג|ל|ן|	g|l:e|n|
ה|י|נ|מ|א|ן|	h|e|n|m|a|n|
נ|א|ס|י|ר|	n|a|s|i|r|
ק|ו|ר|ז|א:י|ן|	c|o|r|z|i|n:e|
ל|ו|פ|ר|	l|a:u|p|e:r|
ג:':ו|מ|י|י|	j:o|m|e|i|
ס|י|ק|ו|ל|א|ר|א|ק|	s|e|k|u|l|a|r|a|c|
ח|ק:י|	h:a|q:q:i|
ש:י|פ|מ|א|ן|	s:h:i|p|m|a|n|
א|ל|פ|ר|י|ד|ו|	a|l|f|r|e|d|o|
ב|י|ר|ק|מ|א|ן|	b|e|r|k|m|a|n|
ה|י|פ|ו|ל|י|ט|	h|i|p:p|o|l|y|t:e|
ש|מ|ע:ו|ן|	s:h:i|m|o|n|
ל|י|ב|ו|ר|נ|ו|	l|i|v|o|r|n|o|
ה|א|ר|ו|ל|ד|	h|a|r|o|l|d|
א|ל|א|נ|ו|ר|	e|l:e|a|n|o|r|
ק|ר|י|ס|פ|ו|ס|	c|r|i|s|p|u|s|
פ|ו|פ|י|ס|ק|ו|	p|o|p|e|s|c|u|
ו|א|נ|ד|ר|ל|י|	v|a|n|d|e:r|l:e|i|
ל|א|מ|י|	l|a|m|y|
א|ל|א:ו|י|ש|ס|	a|l|o:y:s|i|u|s|
ש|א|מ|כ|א|נ|י|	s:h|a|m|k:h|a|n|i|
ב|ר|י|ק:ס|ט|ו|ן|	b|r|i|x|t|o|n|
ב|ר|י|ס|ב:י:י|ן|	b|r|i|s|b:a|n:e|
ה|ש|ו|מ|ר|ו|ן|	h:a|s:h|o|m|r|o|n|
ס|ו|ל|א|נ|ו|	s|o|l|a|n|o|
ק|ו|ק:ס|ו|ן|	c|o|x|o|n|
ו|י|א|נ|א|	v|i|a|n|a|
מ|ו|ק|ר|ג:':י|	m|u|k|e:r|j:i|
ז|א|פ:ו|ר|	z|a|f:o:u|r|
ד|ו|ד|א:י|י|ב|	d|u|d|a|y|e:v|
ר|ו|מ|י|ו|	r|o|m|e|o|
ה|א|ר|ד|א|ו|י|י|	h|a|r|d|a|w|a|y|
מ|ו|ר|ד|כ:י|	m|o|r|d:e:c|h:a:i|
ב|ר|י|ג|ם|	b|r|i|g:h|a:m|
ט|י|ט|י|ק|א|ק|א|	t|i|t|i|c|a|c|a|
ט|א|ש:י|ר|ו|	t|a|s:h:i|r|o|
ג|י|נ|ר|י|ך|	g|e|n|r|i|k:h|
א:י:ב|א|נ|ו|ב|י:ט:ש|	i:v|a|n|o|v|i:c|
א|ל|מ|נ|ב|ר|	a|l|m:e|n|b:a|r|
ד|ו|ס:ב|ו|ר|ג|	d|o|e:s:b|u|r|g|
ד|נ|ק|ט|א|ס|	d:e|n|k|t|a|s|
ז|י|ב|א|ל|י|י|ב|י:ט:ש|	z|i|v|a|l|j|e|v|i:c|
פ|ר|א|ס|ק|ו|	f|r|a|s|c|o|
ב|ו|ל|א|	b|o|l|a|
פ|ל|א|ט|ג:'|י|ס|	p|l:a|a|t|j|i:e|s|
ג:':א|ק|ס|ו|ן|	j:a|c:k|s|o|n|
מ|ר|נ|פ|ט|א|ח|	m:e|r|n:e|p|t|a|h|
ט|א|ק|א|י|ו|ש:י|	t|a|k|a|y|o|s:h:i|
פ|א|פ|ו|ס|	p|a|p:h|o|s|
ש|א|ק|י|ל|	s:h|a|q:u|i|l:l:e|
מ|ו|ר|א|ד|	m|u|r|a|d|
ה|א|ר|ק|ו|ס|	h|a|r|k|u|s|
ר|י|צ:'|י|	r|i|c:h:i|e|
ו|י|ס|ט|ו|ל|א|	v|i|s|t|u|l|a|
ק|א|ס|א|ט|	c|a|s:s|a|t:t|
ל|י|ד|ר|ב|ר|ג|	l|e|d|e:r|b|e:r|g|
ר|ו|י|	r|u|i|
ז|ה|א|	z|a:h|a|
א|מ|א|ם|	e|m|a|m|
ק|א|נ:א|	c|a|n:n:a|
ש|א|ן|	s:h|a|n|
ס|י|ז|ר|	c|e|s|a:r:e|
מ|א|ג|ר|ב|	m|a|g:h|r:e|b|
ז|ר|ה|ו|נ|י|	z|e:r|h|o:u|n|i|
ר|ו|י|	r|u|y|
ו|י|ר|ץ|	w|i|e:r|t:z|
מ|ו|ר|א|ד|י|	m|o|r|a|d|i|
ב|ל|ו|מ|נ|ת|א|ל|	b|l|u|m:e|n|t:h|a|l|
ק|ו|ב|ל|א|י|	k|u|b|l|a|i|
ט|ו|ר|ו|נ|ט|ו|	t|o|r|o|n|t|o|
ד|י|ל|א|	d|e|l:l|a|
ק|א|ז|א|כ|ס|ט|א|ן|	k|a|z|a|k:h|s|t|a|n|
ב:ו|ט|ר|ו|ס|	b:o:u|t|r|o|s|
ב|ו|ר|ט:ן|	b|u|r|t:o:n|
פ|י|ד|ל|ר|	f|i|e:d|l|e:r|
מ:ו|ל|ו|ד|	m:o:u|l|o:u|d|
ש|ו|ל|ט|ז|	s:c:h|u|l|t|z|
ש:י|ה|	s:h:i|h|
א|ב|י|ב|י|ם|	a|v|i|v|i|m|
ג:ו|ג:':ו|נ|ס|ו|ן|	g:u:o|j:o|h:n|s|e|n|
ג:'|ר|ק|ו|	j|e:r|k|o|
ט|ו|מ|י|ל|ו|	t|u|m|e|l|o|
מ|א|ק|	m|a|c|
ש|י|ס|ט|ר|נ|י|ו|ב|	s:h|e|s|t|e:r|n|y|o|v|
ק|ט|	c:a|t|
ר|י|ב|י|ל|י|ר|	r|e|v:e|i|l:l|e|r:e|
ל|י|נ|ד|א|	l|i|n|d|a|
ט|א|מ|ב:ו|ר|א|	t|a|m|b:o:u|r|a|
מ|י|ק|י|ו|	m|i|k|i|o|
ר:ח|מ|א|ן|	r:e:h|m|a|n|
א|ו|ד|ו|	a|u|d|o|
פ|ו|ד|י|ס|ט|א|	p|o|d|e|s|t|a|
ה|ו|ל|ד|י|ן|	h|o|l|d|e|n|
מ|י|ז|ו|ש:י|מ|א|	m|i|z|u|s:h:i|m|a|
ר|ו|ש|ד|י|	r|u|s:h|d|y|
ג:':ו|ס|י|ב|א|	j:o|s|e|b|a|
פ|י|ל|י|ס|י|א|נ|ו|	f|e|l|i|c|i|a|n|o|
א|ס|ט|ו|ר|י|א|ס|	a|s|t|u|r|i|a|s|
ב|א|י|ר|ם|	b|a|j|r:a|m|
ד|א|ט|י|	d|a|t|i|
ה|א|ו|ס|מ|א|ן|	h|a|u|s|m|a|n:n|
ט|ר|ו|מ|א|ן|	t|r|u|m|a|n|
ק|ו|מ|ו|	c|o|m|o|
א|מ|ל|	a|m:a|l|
י|ל|י|נ|י|ק|	j:e|l:l|i|n|e|k|
ו|ו|נ|ד|ר|	w|o|n|d|e:r|
ל|י|ס|ט|	l|i|s|t|
ל|א|נ|ד|א|ו|	l|a|n|d|a|u|
ו|ע|נ|ו|נ|ו|	v|a|n|u|n|u|
א|ר|י|נ|ד|	a|r|e|n|d|
ס|י|מ|י|ן|	s|i|m|i|n|
נ|א:ב:א|ר|	n:a|v:a|r:r:e|
ג:'|ט|ו|	j:e:t|t|o:u|
ט|ו|נ|ק|י|י|	t|u|n|c|a|y|
ו|י|ר|ג:':י|נ|י|	v|i|r|g:i|n|i:e|
נ|י|ב|ו|ל|א|	n|i|v|o|l|a|
ל|א|ה|ו|ר|	l|a|h|o|r:e|
ד|ו|ד|י|	d|u|d|i|
ק|י|מ|פ|ף|	k|e|m|p|f:f|
ש|א|ו|ר|מ|א|	s:h|a|w|a:r|m|a|
ג|ו|ט|ל|ו|ב|	g|o|t:t|l|o|b|
א|מ|ו|נ|ד|ס|ן|	a|m|u|n|d|s|e:n|
ש|י|א|ב|ו|נ|י|	s:c:h|i|a|v|o|n|e|
פ|ר|א|ד|ו|	p|r|a|d|o|
ק|ל|ת|ו|ם|	k:u|l|t:h|u|m|
י|א|ר|ד|	y|a|r|d|
ס|ט|א:י|ל|א:י|ט|ס|	s|t|y|l|i|t:e|s|
מ|י|ק|	m|i|c:k|
א|ל|ב|ר|ט|י|	a|l|b|e:r|t|i|
ל|י|נ|ד|ו|ן|	l|y|n|d|o|n|
ג|א|ו|ן|	g|a|o|n|
ב|נ|ח|ס|י|	b:e|n|h:a|s:s|i|
ב|נ|י|מ|י|ן|	b:e|n|y:a|m|i|n|
א|ר|א|נ:א|	a|r|a|n:h:a|
ס|א|מ|ר|	s|a|m:m:e|r|
ד|י|ט|ר|ו|י|ט|	d|e|t|r|o|i|t|
ב|א|ר|ט|מ|א|ן|	b:a|a|r|t|m|a|n|
ס|ו|ל|י|מ|א|ן|	s|u|l|i|m|a|n|
ט|א|ק|י|ו|צ:'|י|	t|a|k|e|u|c|h:i|
ק|א|ר|ד|ו|ז|ו|	c|a|r|d|o|z|o|
ג:':א|נ|ס|ן|	j:a|n|s:s|e:n|
נ|י|ק|ו|ל|א|י|	n|i|k|o|l|a|y|
ב|ל|ו|ג|י|	b:e|l:l|u|g|i|
מ|א|נ|ג|נ|א|ל|	m|a|n|g|n|a|l:l|
א|י:ו|ר|ו|ס|פ|ו|ר|ט|	e|u|r|o|s|p|o|r|t|
ג:':ו|ן|	j:o|h:n|
ק|י|ז|	k|e|e:s|
מ|ו|נ|ת|ס|ר|	m|o|n|t:a:s|s|e:r|
פ|י|נ|י|	p|i|n|i|
נ|י|ק|ו|ל|א|י|	n|i|k|o|l|a|i|
פ|ר|י|ד|ר|י|ק|ס|	f|r|e|d|e:r|i|c:k|s|
ב|י|ר|ל|	b|e|r|l|
ג|ו|צ:א|נ|ט|י|	g|u|z:z:a|n|t|i|
מ|נ|א|ג:'|ד|	m|n|a|j|e:d|
ג:י|נ:י|ס|	g:u:i|n:n:e|s:s|
ס|י:ר:ף|	c:e|r:f|
ש|ו|י:ט:ש|י|	s:h|u|i:c|h:i|
א|ב|ו|ט|א|ר|ן|	h|e:b|u|t|e|r|n:e|
פ|ר|ו|ד|ו|	f|r|o|d|o|
נ|י|מ|י:ט:ש|	n|e|m|e:c|
ר|מ:י|י|ש|	r|m|a:i|c:h|
ש|ל|י|	s:h:e|l:l:e|y|
פ|א|פ|א|	p|a|p|a|
ט|ו|נ|י|ס|י|ה|	t|u|n|i|s|i|a|
פ|ו|פ|ל|ו|ה|א|ר|	p|o|p|l|u|h|a|r|
ר|י:ו|צ:'|י|	r|y:o:i|c|h:i|
מ|י|ט|ג|ו|ד|	m|e|t|g|o|d|
ל|א|נ|ס|ב|ו|ר|י|	l|a|n|s|b|u|r|y|
נ|ו|א|ל|	n:a|w|e|l|
ג|י|ד|	g|i|d:e|
ס|א|צ:ו|ק|י|	s|a|t:s:u|k|i|
ס|א|ד|א|ת|	s|a|d|a|t|
מ|א|ר|ק|ו|ס|	m|a|r|c|o|s|
ו|א|י|ט|	w|h|i|t:e|
ב|א|ל|י|	b|a|l:e|y|
ל|א|ד|י|ס|ל|א|ב|	l|a|d|i|s|l|a|v|
צ|ב|י|ט|א|ן|	t:z|v|e|t|a|n|
מ|י|נ|ס|א|ה|	m|e|n|s|a|h|
א:י|ר|א|ק|ל|י|ו|	i|r|a|k|l:e|i|o|
י|ו|ש:י|ר|ו|	y|o|s:h:i|r|o|
ג|א|נ|י|א|	g|a|n|e|a|
ו|ס|נ|י|ן|	v:e|s|n|i|n|
ב|ר|ק|	b:a|r:a|k|
נ|ו:ב:י|ן|	n|o:v|i:n|
פ|א|ו|ל|ו|ס|	p|a|u|l|u|s|
מ|י|ר|א|ן|	m|i|r|a|n|
פ|ו|ל|י|	p|o|l:l|y|
ק|ו|ר|ט|י|ז|ו|ל|	c|o|r|t|i|s|o|l|
ק|מ|א|ל|	k:e|m|a|l|
ס|ט:ש|ו:ן|	s|c|h:o:n|
י|ו|נ|ג|	y|o:u|n|g|
מ|י|ש|ל|	m|i|c:h:e|l:l:e|
פ|ו|ר|ט|א|ל|י|ז|א|	f|o|r|t|a|l|e|z|a|
נ|א|ן|	n:a|a|n|
א|ד|ו|ל:ף|	a|d|o|l:p:h|
ע|ב|י|ד|י|	a|b|e|d|i|
ש|י|ר|י|ל|	s:h|e|r|y|l|
ז:י|ן|	x|i:n|
ט|ו|מ|א|נ|י|	t|o:u|m|a|n|i|
ג:':א|נ|ק|ו|	j:u|n|k|o|
ע:ק|א|ד|	a:k:k|a|d|
ט|א|ק|י|ס|	t|a|k|i|s|
א|ל|ב|ר|ט|א|	a|l|b|e:r|t|a|
ה|א|מ|ר|	h|a|m:e|r|
ג|י|ק|י|ל|	g|i|c:q:u|e|l|
ו:י|ט|נ|י|	w:h:i|t|n:e|y|
ג:'|א|ו|א|ד|י|	d|j:a|w|a|d|i|
ר|ו|ד|ו|ל|ף|	r|o|d|o|l|p:h:e|
ס|ו|ק|ר|	s|u|c|r:e|
ז|י|מ|י|ן|	z|e|m|i|n|
מ|ל|א|ל|	m:a|l|a|l|
ק|צ|י|ר|	k:a|t:z|i|r|
ד|ר|י|נ|ט|ה|	d|r|e|n|t|h:e|
פ|י|ס|י|ן|	p|i|s|i|n|
ל|א|ו|ר|ו|	l|a|u|r|o|
ג:'|ע|פ|ר|	g|a|a:f|a:r|
צ:ב|א:י|ג|	z:w:e|i|g|
ב|ר|ק|ה|	b:a|r|k|a|
ל|א|נ|א|נ:ר:ק|	l|a|n|a|r:k|
פ|א|ס|ק|ו|	p|a|s|c|o|
ק|א|ר|י|	c|a|r|y|
מ|א|י|ר|	m|e|i|e:r|
ש|ר|מ|א|ן|	s:h|e:r|m|a|n|
ו|י:א|	w|e:a:h|
ג|א|ב|י|ל|ו|נ|ד|ו|	g|a|b|i|l|o|n|d|o|
ר|מ|ז|	r:e|m:e|z|
ח|א|ן|	k:h|a|n|
ס|ט:י:י|ס|י|	s|t:a|c|y|
ז|י|ב|י:ט:ש|	z|e|b|e:c|
ו|י|ס|י|ט|ו|ר|	v|i|s|i|t|o|r|
ז|ט|ק|י|ן|	z:e|t|k|i|n|
ה|א|ר|פ|ו|	h|a|r|p|o|
ט|א|ר|ל|י|ב|	t|a|r|l|e|v|
מ|ק|פ|א|ד|י|ן|	m|c|f|a|d:d|e|n|
מ|נ|ש|ב|י|ק|	m:e|n|s:h|e:v|i|k|
ג:':ו|ן|	j:o|a:n|
פ|ר|נ|א|נ|ד|ו|	f:e|r|n|a|n|d|o|
ק|א|י|מ|ב|י|	k|a|i|m|b|i|
ה|ו|מ|ו|ס|י|ס|ט|י|ן|	h|o|m|o|c|y|s|t:e|i|n:e|
ל|י|ב|נ|י|	l|i|v|n|i|
